"Año";"Periodo";"Afiliados a la Seguridad Social"
"2021";"Día 16 de febrero";"915.895"
"2021";"Día 17 de febrero";"909.473"
"2021";"Día 18 de febrero";"906.452"
"2021";"Día 19 de febrero";"906.139"
"2021";"Día 20 de febrero";"894.309"
"2021";"Día 21 de febrero";"893.105"
"2021";"Día 22 de febrero";"892.349"
"2021";"Día 23 de febrero";"883.282"
"2021";"Día 24 de febrero";"880.580"
"2021";"Día 25 de febrero";"878.915"
"2021";"Día 26 de febrero";"873.199"
"2021";"Día 27 de febrero";"860.466"
"2021";"Día 28 de febrero";"859.541"
"2021";"Día 1 de marzo";"829.909"
"2021";"Día 2 de marzo";"825.980"
"2021";"Día 3 de marzo";"822.847"
"2021";"Día 4 de marzo";"820.790"
"2021";"Día 5 de marzo";"814.038"
"2021";"Día 6 de marzo";"809.377"
"2021";"Día 7 de marzo";"808.794"
"2021";"Día 8 de marzo";"800.145"
"2021";"Día 9 de marzo";"795.653"
"2021";"Día 10 de marzo";"793.486"
"2021";"Día 11 de marzo";"791.995"
"2021";"Día 12 de marzo";"789.806"
"2021";"Día 13 de marzo";"786.317"
"2021";"Día 14 de marzo";"785.399"
"2021";"Día 15 de marzo";"776.924"
"2021";"Día 16 de marzo";"773.309"
"2021";"Día 17 de marzo";"770.978"
"2021";"Día 18 de marzo";"769.007"
"2021";"Día 19 de marzo";"763.355"
"2021";"Día 20 de marzo";"761.454"
"2021";"Día 21 de marzo";"761.134"
"2021";"Día 22 de marzo";"759.076"
"2021";"Día 23 de marzo";"757.145"
"2021";"Día 24 de marzo";"755.308"
"2021";"Día 25 de marzo";"753.844"
"2021";"Día 26 de marzo";"752.320"
"2021";"Día 27 de marzo";"749.497"
"2021";"Día 28 de marzo";"748.983"
"2021";"Día 29 de marzo";"747.425"
"2021";"Día 30 de marzo";"746.514"
"2021";"Día 31 de marzo";"745.615"
"2021";"Día 1 de abril";"743.628"
;;
;;
"Métrica":"Afiliados a la Seguridad Social"
"Fuente":"Ministerio de Inclusión, Seguridad Social y Migraciones"
"Clasificación":""
"Unidad":"Nº de afiliados"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-diaria-numero-afiliados-afectados-erte-espana/0a091c94-db77-4b80-a100-4816fa1d67fa"
"Titulo":"Evolución diaria del número de afiliados afectados por ERTE en España"
"Subtitulo":""
